_id,APPLICATION_DATE,COMPLETED_DATE,DESCRIPTION,ISSUED_DATE,PERMIT_NUM,PERMIT_TYPE,POSTAL,REVISION_NUM,STATUS,STREET_DIRECTION,STREET_NAME,STREET_NUM,STREET_TYPE,STRUCTURE_TYPE,WORK
23542,2010-11-04,2011-02-02,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-05,10 291407,Small Residential Projects,M4E,00,Closed, ,WILLOW,304,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23543,2010-11-04,NA,"Proposed installation of a solar hot water heating systen on the roof of existing dwelling.
As per certified plan #09-148271-01.",2010-11-15,10 291499,Small Residential Projects,M6S,00,Inspection, ,WILLARD,324,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23544,2010-11-04,2021-09-24,"Proposed installation of a solar hot water heating systen on the roof of existing dwelling.
As per certified plan #09-148271-01.",2010-11-15,10 291502,Small Residential Projects,M6E,00,Closed, ,NAIRN,55,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23545,2010-11-04,NA,"Proposed installation of a solar hot water heating systen on the roof of existing dwelling.
As per certified plan #09-148271-01.",2010-11-15,10 291509,Small Residential Projects,M6N,00,Permit Issued, ,FLORENCE,15,CRES,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23546,2010-11-04,2011-07-12,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-05,10 291549,Small Residential Projects,M4L,00,Closed, ,KINGSMOUNT PARK,12,RD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23547,2010-11-04,2011-06-28,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-05,10 291607,Small Residential Projects,M4C,00,Closed, ,BASTEDO,131,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23548,2010-11-04,NA,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-04,10 291617,Small Residential Projects,M6H,00,Inspection, ,EMERSON,204,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23549,2010-11-04,NA,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-04,10 291622,Small Residential Projects,M6J,00,Inspection, ,MITCHELL,60,AVE,SFD - Townhouse,Solar Domestic Hot Water (Res)
23550,2010-11-04,NA,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-04,10 291624,Small Residential Projects,M4C,00,Inspection, ,KNIGHT,27,ST,SFD - Detached,Solar Domestic Hot Water (Res)
23551,2010-11-04,2011-07-12,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-05,10 291625,Small Residential Projects,M4C,00,Closed, ,BASTEDO,133,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23552,2010-11-17,2011-02-10,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 297920,Small Residential Projects,M4L,00,Closed, ,JUNIPER,18,AVE,SFD - Townhouse,Solar Domestic Hot Water (Res)
23553,2010-11-17,2011-06-29,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 297999,Small Residential Projects,M4C,00,Closed, ,BARRINGTON,50,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23554,2010-11-17,2011-04-19,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298367,Small Residential Projects,M4L,00,Closed, ,CRAVEN,249,RD,SFD - Townhouse,Solar Domestic Hot Water (Res)
23555,2010-11-17,2013-03-21,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298393,Small Residential Projects,M4E,00,Cancelled,E,GERRARD,2001,ST,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23556,2010-11-17,2011-04-19,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298459,Small Residential Projects,M4L,00,Closed, ,ASHDALE,129,AVE,SFD - Townhouse,Solar Domestic Hot Water (Res)
23557,2010-11-17,2011-02-09,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298475,Small Residential Projects,M4E,00,Closed, ,PICKERING,110,ST,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23558,2010-11-17,2011-04-19,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298482,Small Residential Projects,M4L,00,Closed, ,ASHDALE,38,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23559,2010-11-17,2011-05-04,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298491,Small Residential Projects,M4L,00,Closed, ,RHODES,207,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23560,2010-11-17,2011-02-09,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298497,Small Residential Projects,M4E,00,Closed, ,PICKERING,116,ST,SFD - Townhouse,Solar Domestic Hot Water (Res)
23561,2010-11-17,2011-02-10,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298500,Small Residential Projects,M4L,00,Closed, ,KINGSTON,395,RD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23562,2010-11-17,2011-02-10,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298504,Small Residential Projects,M4L,00,Closed, ,KINGSTON,393,RD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23563,2010-11-17,2011-07-12,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298507,Small Residential Projects,M4C,00,Closed, ,OAKCREST,208,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23564,2010-11-17,2011-07-12,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298508,Small Residential Projects,M4L,00,Closed, ,GAINSBOROUGH,288 A,RD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23565,2010-11-17,2011-07-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-11-18,10 298519,Small Residential Projects,M4L,00,Closed, ,WAVERLEY,292,RD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23566,2010-12-01,2011-07-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-06,10 306699,Small Residential Projects,M4J,00,Closed, ,QUEENSDALE,116,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23567,2010-12-01,2011-07-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-07,10 306730,Small Residential Projects,M4C,00,Closed, ,MILVERTON,560,BLVD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23568,2010-12-01,2011-07-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-06,10 306738,Small Residential Projects,M4C,00,Closed, ,WOODMOUNT,25,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23569,2010-12-02,2011-07-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-07,10 307636,Small Residential Projects,M4C,00,Closed, ,SPRINGDALE,222,BLVD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23570,2010-12-02,2021-11-01,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-07,10 307651,Small Residential Projects,M4C,00,Closed, ,SAMMON,703,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23571,2010-12-02,2011-07-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-07,10 307731,Small Residential Projects,M4C,00,Closed, ,WOODMOUNT,125,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23572,2010-12-20,NA,Permit for installation of 2 solar collectors (certified model number 09-148268-02-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2010-12-20,10 317395,Small Residential Projects,M4K,00,Inspection, ,LANGLEY,7,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23573,2011-01-10,2011-05-03,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2011-01-19,11 103643,Small Residential Projects,M4A,00,Closed, ,WIGMORE,45,DR,SFD - Detached,Solar Domestic Hot Water (Res)
23574,2011-02-15,2011-02-25,Permit for installation of 2 solar collectors on south face of roof of the existing single family detached dwelling (Certified model 09-148269 CE) for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system. ,2011-02-15,11 126702,Small Residential Projects,M4L,00,Closed, ,DIXON,37,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23575,2011-06-03,2012-01-03,Permit for installation of 2 solar collector (certified model number 09-148268-02 PG) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2011-06-03,11 209828,Small Residential Projects,M6G,00,Closed, ,YARMOUTH,141,RD,Converted House,Solar Domestic Hot Water (Res)
23576,2011-08-09,NA,Install solar electrical panels on roof,2011-09-06,11 253699,Small Residential Projects,M1B,00,Inspection, ,MORNINGVIEW,186,TRL,SFD - Detached,Solar Domestic Hot Water (Res)
23577,2011-08-11,2013-03-18,Rooftop solar panels for electricity,2011-08-26,11 255357,Small Residential Projects,M1W,00,Closed, ,FLUELLEN,19,DR,SFD - Detached,Solar Domestic Hot Water (Res)
23578,2011-08-26,2011-09-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2011-08-29,11 264148,Small Residential Projects,M4J,00,Closed, ,MILVERTON,255,BLVD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23579,2011-08-26,2011-09-13,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2011-08-29,11 264155,Small Residential Projects,M4J,00,Closed, ,MILVERTON,245,BLVD,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23580,2011-09-16,2012-05-04,Installation of certified solar domestic hot water system.,2011-09-16,11 276164,Small Residential Projects,M4L,00,Closed, ,HIAWATHA,29,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23581,2011-09-27,2013-03-01,install solar hot water system on roof,2011-11-02,11 282285,Small Residential Projects,M1R,00,Closed, ,JOANNA,29,DR,SFD - Detached,Solar Domestic Hot Water (Res)
23582,2011-10-31,2011-11-17,solar rooftop panels,2011-11-10,11 302088,Small Residential Projects,M1C,00,Closed, ,RIDGEWOOD,152,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23583,2011-12-15,2015-11-17,Roof top solar panels for electrical,2012-04-03,11 326620,Small Residential Projects,M1C,00,Cancelled, ,ROUGE HIGHLANDS,371,DR,SFD - Detached,Solar Domestic Hot Water (Res)
23584,2012-04-05,2014-10-30,"PV Solar panels installed, on the south side on the existing roof",2012-05-11,12 149889,Small Residential Projects,M1M,00,Closed,E,REDLAND,9,CRES,SFD - Detached,Solar Domestic Hot Water (Res)
23585,2012-06-19,2019-10-01,Install one solar domestic hot water system for semi detched single family dwelling.,2012-09-26,12 196161,Small Residential Projects,M4N,00,Cancelled, ,BOWOOD,63,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23586,2012-10-15,2015-02-09,solar panels for electricity,2012-11-16,12 262691,Small Residential Projects,M1M,00,Closed,S,BELLAMY,52,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23587,2013-08-14,NA,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2013-08-15,13 220758,Small Residential Projects,M4C,00,Inspection, ,COLERIDGE,256,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23588,2014-03-26,NA,Permit for installation of solar panels on roof of existing SFD.,2014-04-09,14 133758,Small Residential Projects,M6G,00,Permit Issued, ,GRACE,355,ST,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23589,2014-09-16,NA,Proposed installation of rooftop solar panels to an existing detached SFD.,2014-10-06,14 223030,Small Residential Projects,M1C,00,Inspection, ,GLADYS,55,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23590,2015-05-29,2021-11-25,Installation of a Solar Domstic Hot Water system on the property's roof as part of existing ongoing construction under related application (Building Permit 13 258213 BLD NH),2015-06-12,15 165326,Small Residential Projects,M5R,00,Closed,W,ROXBOROUGH,67,ST,SFD - Detached,Solar Domestic Hot Water (Res)
23591,2015-06-12,NA,Install solar panels on existing roof structure,2015-07-14,15 173235,Small Residential Projects,M4C,00,Inspection, ,MAIN,505,ST,SFD - Detached,Solar Domestic Hot Water (Res)
23592,2016-05-30,2019-04-01,Proposal to install roof-top solar panels on existing single family detached dwelling.,2016-06-14,16 163941,Small Residential Projects,M1B,00,Cancelled, ,PENNYHILL,108,DR,SFD - Detached,Solar Domestic Hot Water (Res)
23593,2016-07-15,2016-07-22,Installation of roof top solar panel,NA,16 191294,Small Residential Projects,M1M,00,Cancelled, ,BRIMLEY,75,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23594,2016-07-27,2018-09-11,Proposal to install roof-top solar panels on existing single family detached dwelling.,2016-08-18,16 197904,Small Residential Projects,M1R,00,Closed, ,PRINCEWAY,75,DR,SFD - Detached,Solar Domestic Hot Water (Res)
23595,2017-10-04,NA,ROOFTOP PV SOLAR PANEL INSTALLATION,2017-10-26,17 242944,Small Residential Projects,M6H,00,Permit Issued, ,PAULINE,44,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23596,2020-08-28,2020-10-09,Installation of Solar PV Panels on roof top and Huawei inverter mounted adjacent to meter,2020-09-16,20 186905,Small Residential Projects,M8V,00,Closed, ,TWENTY THIRD,66,ST,SFD - Detached,Solar Domestic Hot Water (Res)
23597,2022-06-02,2024-06-04,Proposal for rooftop solar panel installation.,2022-06-24,22 156077,Small Residential Projects,M4J,00,Closed, ,DONLANDS,493,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23598,2022-06-22,2022-12-12,Proposal for rooftop solar panel installation in the existing detached house.,2022-07-11,22 166452,Small Residential Projects,M4J,00,Closed, ,EATON,38,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23599,2022-09-19,2023-01-24,Install 14 rooftop solar panels for the purpose of household energy prduction and net-metering. Panels will be attached to the roof via aluminum racking. ,2022-10-06,22 205628,Small Residential Projects,M1K,00,Closed, ,RUPERT,27,ST,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23600,2022-10-06,2024-01-23,Installation of flush mounted solar panels on the rooftop of an exisitng single family dwelling.,2022-11-04,22 213830,Small Residential Projects,M6R,00,Closed, ,SUNNYSIDE,178,AVE,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23601,2022-11-10,NA,Installation of solar panels.,2022-12-15,22 228215,Small Residential Projects,M6C,00,Permit Issued, ,ROSENEATH,110,GDNS,SFD - Detached,Solar Domestic Hot Water (Res)
23602,2022-12-16,NA,Proposal to add solar panels on rooftop of the existing detached single family house. ,2023-01-04,22 240313,Small Residential Projects,M4E,00,Permit Issued, ,PICKERING,38,ST,SFD - Detached,Solar Domestic Hot Water (Res)
23603,2022-12-19,2023-11-24,Proposal to add solar panels on rooftop of the existing detached single family house. ,2023-01-05,22 240754,Small Residential Projects,M1L,00,Closed, ,PENAIRE,12,ST,SFD - Detached,Solar Domestic Hot Water (Res)
23604,2022-12-20,2024-03-13,ROOFTOP  SOLAR PANEL INSTALLATION IN THE EXISTING DETACHED HOUSE.,2023-04-06,22 241324,Small Residential Projects,M9C,00,Closed, ,TRAILSMOKE,10,CRES,SFD - Detached,Solar Domestic Hot Water (Res)
23605,2023-02-03,2023-12-27,Proposal to install rooftop solar panel installation in the existing semi-detached house. ,2023-02-28,23 110022,Small Residential Projects,M1B,00,Closed, ,DOWSWELL,25,DR,SFD - Semi-Detached,Solar Domestic Hot Water (Res)
23606,2023-03-15,NA,INSTALLATION OF SOLAR PANEL PV ON ROOFTOP,2023-03-30,23 123572,Small Residential Projects,M1C,00,Inspection, ,DELBEATRICE,9,CRES,SFD - Detached,Solar Domestic Hot Water (Res)
23607,2023-03-16,2024-03-11,ROOFTOP  SOLAR PANEL INSTALLATION IN THE EXISTING DETACHED HOUSE.,2023-04-04,23 123814,Small Residential Projects,M6B,00,Closed, ,SAGE,23,AVE,SFD - Detached,Solar Domestic Hot Water (Res)
23608,2023-03-30,2024-09-17,Proposal to install solar panel in the rooftop of the existing detached house. ,2023-05-24,23 128995,Small Residential Projects,M6S,00,Closed, ,HUMBERCREST,16,BLVD,SFD - Detached,Solar Domestic Hot Water (Res)
23609,2023-07-27,2024-04-10,Proposed rooftop solar panel installation,2023-08-08,23 181013,Small Residential Projects,M2J,00,Closed, ,DOUBLETREE,29,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23610,2023-07-28,NA,Proposed installation of solar panel on rooftop,2023-08-10,23 181261,Small Residential Projects,M1E,00,Permit Issued, ,ROWATSON,80,RD,SFD - Detached,Solar Domestic Hot Water (Res)
23611,2023-08-29,2023-11-29,Rooftop Solar Panel Installation,2023-10-17,23 195168,Small Residential Projects,M5M,00,Closed, ,JOICEY,173,BLVD,SFD - Detached,Solar Domestic Hot Water (Res)
